Date,NSEI,NSEI_ret,realized_vol_5d,regime,regime_label
2023-12-14,21182.69921875,1.2175662163725103,0.6009552416783427,0,Bull (Strong Uptrend)
2023-12-15,21456.650390625,1.2849864921501506,0.7570174779533546,1,Low-Momentum / Sideways
2023-12-18,21418.650390625,-0.17725827811074615,0.801767560999803,1,Low-Momentum / Sideways
2023-12-19,21453.099609375,0.1607082806947435,0.6832456955636595,1,Low-Momentum / Sideways
2023-12-20,21150.150390625,-1.4222122733049722,1.1166090582798263,1,Low-Momentum / Sideways
2023-12-21,21255.05078125,0.49475348167753463,0.9940640739936095,1,Low-Momentum / Sideways
2023-12-22,21349.400390625,0.4429103580375731,0.7859176267840653,1,Low-Momentum / Sideways
2023-12-26,21441.349609375,0.42976278879013263,0.8173000716355336,1,Low-Momentum / Sideways
2023-12-27,21654.75,0.9903547502138933,0.9292576363591335,1,Low-Momentum / Sideways
2023-12-28,21778.69921875,0.570756214221481,0.23288696196223765,0,Bull (Strong Uptrend)
2023-12-29,21731.400390625,-0.21741548367498845,0.4336595269043237,0,Bull (Strong Uptrend)
2024-01-02,21665.80078125,-0.3023220740871051,0.5470559911640024,0,Bull (Strong Uptrend)
2024-01-03,21517.349609375,-0.6875448193459908,0.6879157399589472,0,Bull (Strong Uptrend)
2024-01-04,21658.599609375,0.6543017882762483,0.5842080749342959,0,Bull (Strong Uptrend)
2024-01-05,21710.80078125,0.240728239789701,0.519121040150726,0,Bull (Strong Uptrend)
2024-01-08,21513.0,-0.915246500529224,0.6488065786855137,0,Bull (Strong Uptrend)
2024-01-09,21544.849609375,0.1479387172036867,0.6625067078819759,0,Bull (Strong Uptrend)
2024-01-10,21618.69921875,0.3421854015216792,0.5955147240337522,0,Bull (Strong Uptrend)
2024-01-11,21647.19921875,0.1317434984659037,0.5126901809476241,0,Bull (Strong Uptrend)
2024-01-12,21894.55078125,1.1361703346499745,0.7319208909505013,0,Bull (Strong Uptrend)
2024-01-15,22097.44921875,0.9224398809286917,0.4639825275057704,0,Bull (Strong Uptrend)
2024-01-16,22032.30078125,-0.2952587985615914,0.583592039961488,0,Bull (Strong Uptrend)
2024-01-17,21571.94921875,-2.1115770473744746,1.2938022641709426,1,Low-Momentum / Sideways
2024-01-18,21462.25,-0.5098245504779364,1.30387737135215,1,Low-Momentum / Sideways
2024-01-19,21622.400390625,0.7434254509367264,1.2141391532403836,1,Low-Momentum / Sideways
2024-01-23,21238.80078125,-1.7900098054810152,1.1641747260415505,1,Low-Momentum / Sideways
2024-01-24,21453.94921875,1.0079006802925212,1.4209282401346264,1,Low-Momentum / Sideways
2024-01-25,21352.599609375,-0.4735247364061254,1.123378471362349,1,Low-Momentum / Sideways
2024-01-29,21737.599609375,1.7869968219302579,1.402252340435486,1,Low-Momentum / Sideways
2024-01-30,21522.099609375,-0.9963166019046519,1.4651785382760318,1,Low-Momentum / Sideways
2024-01-31,21725.69921875,0.9415559590485083,1.1494689416173538,1,Low-Momentum / Sideways
2024-02-01,21697.44921875,-0.130114950214822,1.1246045532254603,1,Low-Momentum / Sideways
2024-02-02,21853.80078125,0.7180149098767169,1.0640019980550175,1,Low-Momentum / Sideways
2024-02-05,21771.69921875,-0.37639297855089193,0.7981866162928872,1,Low-Momentum / Sideways
2024-02-06,21929.400390625,0.7217294659854949,0.5870687179199497,0,Bull (Strong Uptrend)
2024-02-07,21930.5,0.0050141900252187645,0.5047283174982563,0,Bull (Strong Uptrend)
2024-02-08,21717.94921875,-0.9739290405751648,0.7288500828503343,0,Bull (Strong Uptrend)
2024-02-09,21782.5,0.29678235415700976,0.6476589870441247,0,Bull (Strong Uptrend)
2024-02-12,21616.05078125,-0.7670764664605448,0.7146654891801306,0,Bull (Strong Uptrend)
2024-02-13,21743.25,0.5867234081485647,0.6752679140139748,0,Bull (Strong Uptrend)
2024-02-14,21840.05078125,0.44421114826255614,0.7301421533387095,0,Bull (Strong Uptrend)
2024-02-15,21910.75,0.3231907943473083,0.5399710017639417,0,Bull (Strong Uptrend)
2024-02-16,22040.69921875,0.5913324803860002,0.5714857983999238,0,Bull (Strong Uptrend)
2024-02-20,22196.94921875,0.7064148085913231,0.1485180764601991,0,Bull (Strong Uptrend)
2024-02-21,22055.05078125,-0.6413220819374543,0.5376590649084118,0,Bull (Strong Uptrend)
2024-02-22,22217.44921875,0.7336344949249518,0.5735016142106723,0,Bull (Strong Uptrend)
2024-02-23,22212.69921875,-0.0213818777795819,0.5966596509935516,0,Bull (Strong Uptrend)
2024-02-26,22122.05078125,-0.4089278221713085,0.6302912662246106,0,Bull (Strong Uptrend)
2024-02-27,22198.349609375,0.3443060208267885,0.5558172832236451,0,Bull (Strong Uptrend)
2024-02-28,21951.150390625,-1.1198396451173727,0.7130725684746544,0,Bull (Strong Uptrend)
2024-02-29,21982.80078125,0.14408171929075417,0.577831856140163,0,Bull (Strong Uptrend)
2024-03-01,22338.75,1.60624736924449,1.0095244357950657,1,Low-Momentum / Sideways
2024-03-04,22405.599609375,0.29880715530739466,0.9667278067467687,1,Low-Momentum / Sideways
2024-03-05,22356.30078125,-0.22027147028049304,0.9864193953314648,1,Low-Momentum / Sideways
2024-03-06,22474.05078125,0.5253149559505271,0.6903112980562871,0,Bull (Strong Uptrend)
2024-03-07,22493.55078125,0.08672911404987264,0.6975368489008783,0,Bull (Strong Uptrend)
2024-03-11,22332.650390625,-0.7178885448103384,0.483864078957503,0,Bull (Strong Uptrend)
2024-03-12,22335.69921875,0.013650954899359894,0.45497821379413306,0,Bull (Strong Uptrend)
2024-03-13,21997.69921875,-1.5248393356596965,0.8064124257917042,1,Low-Momentum / Sideways
2024-03-14,22146.650390625,0.6748394232673185,0.8474814634278721,1,Low-Momentum / Sideways
2024-03-15,22023.349609375,-0.5583024746448362,0.823897775889715,1,Low-Momentum / Sideways
2024-03-18,22055.69921875,0.1467800056624233,0.8370392761385993,1,Low-Momentum / Sideways
2024-03-19,21817.44921875,-1.0860963960358783,0.8931869718456927,1,Low-Momentum / Sideways
2024-03-20,21839.099609375,0.09918508439663014,0.6843572849949066,0,Bull (Strong Uptrend)
2024-03-21,22011.94921875,0.7883528864675104,0.7193312206183099,0,Bull (Strong Uptrend)
2024-03-22,22096.75,0.38450866714008036,0.6996772001574909,0,Bull (Strong Uptrend)
2024-03-26,22004.69921875,-0.4174507484794188,0.7284121226440733,0,Bull (Strong Uptrend)
2024-03-27,22123.650390625,0.5391158338500764,0.46249578533581776,0,Bull (Strong Uptrend)
2024-03-28,22326.900390625,0.9145057280234776,0.5231190412604068,0,Bull (Strong Uptrend)
2024-04-01,22462.0,0.6032745520934438,0.49843275659135183,0,Bull (Strong Uptrend)
2024-04-02,22453.30078125,-0.038736104211539536,0.537172779338184,0,Bull (Strong Uptrend)
