Date,NSEI,BSESN,INDIAVIX
2019-10-09,11313.2998046875,38177.94921875,17.15999984741211
2019-10-10,11234.5498046875,37880.3984375,17.229999542236328
2019-10-11,11305.0498046875,38127.078125,17.139999389648438
2019-10-14,11341.150390625,38214.46875,17.43000030517578
2019-10-15,11428.2998046875,38506.08984375,16.850000381469727
2019-10-16,11464.0,38598.98828125,16.360000610351562
2019-10-17,11586.349609375,39052.05859375,15.880000114440918
2019-10-18,11661.849609375,39298.37890625,15.930000305175781
2019-10-22,11588.349609375,38963.83984375,16.809999465942383
2019-10-23,11604.099609375,39058.828125,16.540000915527344
2019-10-24,11582.599609375,39020.390625,16.239999771118164
2019-10-25,11583.900390625,39058.05859375,15.319999694824219
2019-10-29,11786.849609375,39831.83984375,16.420000076293945
2019-10-30,11844.099609375,40051.87109375,16.65999984741211
2019-10-31,11877.4501953125,40129.05078125,16.280000686645508
2019-11-01,11890.599609375,40165.03125,15.729999542236328
2019-11-04,11941.2998046875,40301.9609375,15.930000305175781
2019-11-05,11917.2001953125,40248.23046875,15.920000076293945
2019-11-06,11966.0498046875,40469.78125,15.779999732971191
2019-11-07,12012.0498046875,40653.73828125,15.210000038146973
2019-11-08,11908.150390625,40323.609375,15.859999656677246
2019-11-11,11913.4501953125,40345.078125,16.25
2019-11-13,11840.4501953125,40116.05859375,16.459999084472656
2019-11-14,11872.099609375,40286.48046875,15.649999618530273
2019-11-15,11895.4501953125,40356.69140625,15.029999732971191
2019-11-18,11884.5,40284.19140625,15.760000228881836
2019-11-19,11940.099609375,40469.69921875,15.40999984741211
2019-11-20,11999.099609375,40651.640625,15.15999984741211
2019-11-21,11968.400390625,40575.171875,14.979999542236328
2019-11-22,11914.400390625,40359.41015625,14.869999885559082
2019-11-25,12073.75,40889.23046875,15.0
2019-11-26,12037.7001953125,40821.30078125,14.84000015258789
2019-11-27,12100.7001953125,41020.609375,14.619999885559082
2019-11-28,12151.150390625,41130.171875,13.989999771118164
2019-11-29,12056.0498046875,40793.80859375,13.899999618530273
2019-12-02,12048.2001953125,40802.171875,14.199999809265137
2019-12-03,11994.2001953125,40675.44921875,14.5600004196167
2019-12-04,12043.2001953125,40850.2890625,13.319999694824219
2019-12-05,12018.400390625,40779.58984375,14.3100004196167
2019-12-06,11921.5,40445.1484375,13.640000343322754
2019-12-09,11937.5,40487.4296875,14.600000381469727
2019-12-10,11856.7998046875,40239.87890625,14.289999961853027
2019-12-11,11910.150390625,40412.5703125,13.380000114440918
2019-12-12,11971.7998046875,40581.7109375,13.350000381469727
2019-12-13,12086.7001953125,41009.7109375,13.300000190734863
2019-12-16,12053.9501953125,40938.71875,13.420000076293945
2019-12-17,12165.0,41352.171875,12.520000457763672
2019-12-18,12221.650390625,41558.5703125,12.34000015258789
2019-12-19,12259.7001953125,41673.921875,12.119999885559082
2019-12-20,12271.7998046875,41681.5390625,12.329999923706055
2019-12-23,12262.75,41642.66015625,11.960000038146973
2019-12-24,12214.5498046875,41461.26171875,11.630000114440918
2019-12-26,12126.5498046875,41163.76171875,11.119999885559082
2019-12-27,12245.7998046875,41575.140625,10.529999732971191
2019-12-30,12255.849609375,41558.0,11.010000228881836
2019-12-31,12168.4501953125,41253.73828125,11.670000076293945
2020-01-02,12282.2001953125,41626.640625,11.489999771118164
2020-01-03,12226.650390625,41464.609375,12.699999809265137
2020-01-06,11993.0498046875,40676.62890625,14.779999732971191
2020-01-07,12052.9501953125,40869.46875,14.609999656677246
2020-01-08,12025.349609375,40817.73828125,15.640000343322754
2020-01-09,12215.900390625,41452.3515625,14.0
2020-01-10,12256.7998046875,41599.71875,14.079999923706055
2020-01-13,12329.5498046875,41859.69140625,14.279999732971191
